Reference, Quantity, Value, Footprint
C3 ,1,0.33u,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm
C4 ,1,0.1u,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm
CLK1 RST1 /8 /2 /4 /16 /32 /64 ,8,WQP-PJ301M-12_JACK,divider2:WQP-PJ301M-12_JACK
D1 ,1,1N4148WS,Diode_SMD:D_SOD-323_HandSoldering
IC1 ,1,4040D,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm
IC2 ,1,7808L,divider2:TO92
LED1 LED2 LED3 LED4 LED5 LED6 ,6,LED3MM,divider2:LED3MM
POWER1 ,1,POWER_SIMPLE10,divider2:POWER_10
R1 R19 ,2,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
R12 R14 R16 ,3,2k2,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
R13 ,1,1k,divider2:R0805
R15 R18 R20 R21 ,4,1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
R17 ,1,22R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R2 R3 ,2,10k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R5 R7 R9 R11 R4 ,5,1k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R6 R8 R10 ,3,2k2,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
T1 T2 T3 T4 ,4,MMBT3904,divider2:SOT23-BEC
